column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	dictionary_page_count	dictionary_page_compressed_bytes	compressed_bytes_without_dictionary_pages	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004556	8005354	0	0	8005354	0.999431	0.999900	0.999331	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	65024	0	0	65024	0.999104	61.570912	61.515748	1000000
Title	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:523	1000000	138409995	140026955	14461085	0	0	14461085	0.988453	9.683019	9.571204	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003531	4916	0	0	4916	0.999118	814.387917	813.669650	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004558	2516679	0	0	2516679	0.999431	3.180603	3.178792	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:57, DICTIONARY_PAGE/PLAIN:57	1000000	4000000	4955	5981	57	1254	4727	807.265388	0.828457	668.784484	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003528	4931	0	0	4931	0.999119	811.909957	811.194484	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003597	408244	0	0	408244	0.999102	9.806873	9.798062	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003584	191146	0	0	191146	0.999105	20.945162	20.926412	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004547	617935	0	0	617935	0.999432	12.953704	12.946345	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003527	4228	0	0	4228	0.999119	946.907994	946.073794	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003591	106696	0	0	106696	0.999103	37.523347	37.489690	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003590	134614	0	0	134614	0.999103	29.741260	29.714591	1088411
URL	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:352	1000000	88562192	89786522	16029529	0	0	16029529	0.986364	5.601320	5.524940	88563396
Referer	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:328	1000000	79583339	80835923	14993079	0	0	14993079	0.984505	5.391549	5.308005	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	178854	0	0	178854	0.999104	22.384666	22.364610	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003591	275180	0	0	275180	0.999103	14.548990	14.535940	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	231366	0	0	231366	0.999104	17.304129	17.288625	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003589	87467	0	0	87467	0.999104	45.772566	45.731533	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003583	48115	0	0	48115	0.999105	83.208625	83.134158	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	187233	0	0	187233	0.999104	21.382908	21.363755	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	186146	0	0	186146	0.999104	21.507779	21.488509	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003589	81692	0	0	81692	0.999104	49.008336	48.964403	1994256
