column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	dictionary_page_count	dictionary_page_compressed_bytes	compressed_bytes_without_dictionary_pages	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	8000000	8004717	8005551	0	0	8005551	0.999411	0.999896	0.999307	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003717	64674	0	0	64674	0.999072	61.906129	61.848656	1000000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:59, DICTIONARY_PAGE/PLAIN:59	1000000	138409995	28808809	7970118	59	6911958	1058160	4.804433	3.614603	17.366116	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003655	5096	0	0	5096	0.999087	785.646586	784.929356	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	8000000	3369402	2887044	0	0	2887044	2.374309	1.167077	2.771000	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003657	5098	0	0	5098	0.999087	785.338760	784.621420	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003656	5114	0	0	5114	0.999087	782.881502	782.166601	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003718	408395	0	0	408395	0.999071	9.803543	9.794439	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	4000000	4003715	191103	0	0	191103	0.999072	20.950561	20.931121	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	8000000	8004716	618399	0	0	618399	0.999411	12.944258	12.936632	18637316
