column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	dictionary_page_count	dictionary_page_compressed_bytes	compressed_bytes_without_dictionary_pages	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	8000000	7989883	7990296	0	0	7990296	1.001266	0.999948	1.001214	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	4000000	198590	90928	0	0	90928	20.142001	2.184036	43.990850	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:517	1000000	138409995	64481174	17105670	0	0	17105670	2.146518	3.769579	8.091469	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	4000000	43786	6946	0	0	6946	91.353401	6.303772	575.871005	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:59	1000000	8000000	8004719	4283070	0	0	4283070	0.999410	1.868921	1.867819	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:59, DICTIONARY_PAGE/PLAIN:59	1000000	4000000	5127	5363	59	885	4478	780.183343	0.955995	745.851203	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	4000000	46841	7312	0	0	7312	85.395273	6.406045	547.045952	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	4000000	3756000	1056351	0	0	1056351	1.064963	3.555636	3.786620	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	4000000	1487368	546171	0	0	546171	2.689314	2.723264	7.323714	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	8000000	4383346	944456	0	0	944456	1.825090	4.641133	8.470485	18637316
CounterClass	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	4000000	43183	6207	0	0	6207	92.629044	6.957145	644.433704	1000000
OS	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	4000000	845609	264130	0	0	264130	4.730319	3.201488	15.144058	1733675
UserAgent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	4000000	686688	281787	0	0	281787	5.825062	2.436904	14.195119	1088411
URL	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:339	1000000	88562192	40460078	18054015	0	0	18054015	2.188878	2.241057	4.905401	88563396
Referer	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:311	1000000	79583339	38994544	17331653	0	0	17331653	2.040884	2.249903	4.591792	79585848
IsRefresh	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	4000000	234162	137909	0	0	137909	17.082191	1.697946	29.004633	1000000
RefererCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	4000000	1862388	589994	0	0	589994	2.147780	3.156622	6.779730	4634835
RefererRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	4000000	1368111	393053	0	0	393053	2.923739	3.480729	10.176745	2814059
URLCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	4000000	1083799	241845	0	0	241845	3.690721	4.481379	16.539519	4525496
URLRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	4000000	724975	126988	0	0	126988	5.517432	5.709004	31.499039	2981244
ResolutionWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:59	1000000	4000000	1283581	477490	0	0	477490	3.116282	2.688184	8.377139	3967065
