column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	dictionary_page_count	dictionary_page_compressed_bytes	compressed_bytes_without_dictionary_pages	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	8000000	7991090	7991517	0	0	7991517	1.001115	0.999947	1.001062	19000000
JavaEnable	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	197725	90883	0	0	90883	20.230118	2.175599	44.012632	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:505	1000000	138409995	142875845	20898397	0	0	20898397	0.968743	6.836689	6.622996	138440901
GoodEvent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	43920	7123	0	0	7123	91.074681	6.165941	561.561140	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:61	1000000	8000000	8004877	4283210	0	0	4283210	0.999391	1.868897	1.867758	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:61, DICTIONARY_PAGE/PLAIN:61	1000000	4000000	5304	5548	61	915	4633	754.147813	0.956020	720.980534	10000000
CounterID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	46900	7498	0	0	7498	85.287846	6.255001	533.475593	2000000
ClientIP	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	3758119	1057052	0	0	1057052	1.064362	3.555283	3.784109	10032124
RegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	1484730	546733	0	0	546733	2.694093	2.715640	7.316185	2539898
UserID	int64	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	8000000	4388622	944956	0	0	944956	1.822896	4.644261	8.466003	18637316
CounterClass	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	43339	6362	0	0	6362	92.295623	6.812166	628.733103	1000000
OS	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	845785	265227	0	0	265227	4.729334	3.188910	15.081421	1733675
UserAgent	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	686024	282335	0	0	282335	5.830700	2.429823	14.167567	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:342	1000000	88562192	92648473	20473468	0	0	20473468	0.955895	4.525295	4.325705	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:300	1000000	79583339	83645452	19052034	0	0	19052034	0.951437	4.390369	4.177157	79585848
IsRefresh	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	234074	138238	0	0	138238	17.088613	1.693268	28.935604	1000000
RefererCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	1863954	592282	0	0	592282	2.145976	3.147072	6.753540	4634835
RefererRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	1366787	394461	0	0	394461	2.926572	3.464948	10.140419	2814059
URLCategoryID	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	1082898	243048	0	0	243048	3.693792	4.455490	16.457654	4525496
URLRegionID	int32	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	723431	127484	0	0	127484	5.529207	5.674681	31.376486	2981244
ResolutionWidth	int16	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:61	1000000	4000000	1283746	478449	0	0	478449	3.115881	2.683141	8.360348	3967065
