column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	dictionary_page_count	dictionary_page_compressed_bytes	compressed_bytes_without_dictionary_pages	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	8000000	8004795	8005215	0	0	8005215	0.999401	0.999948	0.999349	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003777	262030	0	0	262030	0.999057	15.279842	15.265428	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:516	1000000	138409995	64467370	17107087	0	0	17107087	2.146978	3.768460	8.090799	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003773	204309	0	0	204309	0.999058	19.596655	19.578188	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	8000000	7351064	5532920	60	3772796	1760124	1.088278	1.328605	1.445891	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	5215	5455	60	900	4555	767.018217	0.956004	733.272227	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003776	204334	0	0	204334	0.999057	19.594272	19.575793	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003836	719364	0	0	719364	0.999042	5.565800	5.560467	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003777	396637	0	0	396637	0.999057	10.094310	10.084788	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	8000000	8004797	1084854	0	0	1084854	0.999401	7.378686	7.374264	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003776	204138	0	0	204138	0.999057	19.613085	19.594588	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003778	318098	0	0	318098	0.999056	12.586618	12.574741	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003779	342180	0	0	342180	0.999056	11.700798	11.689754	1088411
URL	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:340	1000000	88562192	40460181	18057541	0	0	18057541	2.188873	2.240625	4.904444	88563396
Referer	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:308	1000000	79583339	38989477	17327722	0	0	17327722	2.041149	2.250121	4.592833	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003807	491900	0	0	491900	0.999049	8.139473	8.131734	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003806	509023	0	0	509023	0.999049	7.865668	7.858191	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003798	458129	0	0	458129	0.999051	8.739455	8.731165	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003778	271943	0	0	271943	0.999056	14.722857	14.708965	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003774	232241	0	0	232241	0.999057	17.239738	17.223488	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003779	373387	0	0	373387	0.999056	10.722867	10.712746	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003781	373176	0	0	373176	0.999056	10.728935	10.718803	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003777	282969	0	0	282969	0.999057	14.149172	14.135824	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003775	245283	0	0	245283	0.999057	16.323084	16.307694	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003777	328345	0	0	328345	0.999057	12.193811	12.182308	1318244
FlashMinor2	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:60	1000000	3354477	1043377	396113	0	0	396113	3.215019	2.634039	8.468485	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003777	219181	0	0	219181	0.999057	18.266989	18.249757	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003772	217298	0	0	217298	0.999058	18.425259	18.407901	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003780	365315	0	0	365315	0.999056	10.959802	10.949455	1885645
UserAgentMinor	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:60	1000000	3767530	861791	237010	0	0	237010	4.371744	3.636096	15.896080	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003777	204791	0	0	204791	0.999057	19.550552	19.532108	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003774	204912	0	0	204912	0.999057	19.538992	19.520575	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003777	218438	0	0	218438	0.999057	18.329123	18.311832	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003778	215356	0	0	215356	0.999056	18.591439	18.573896	1001922
