column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	dictionary_page_count	dictionary_page_compressed_bytes	compressed_bytes_without_dictionary_pages	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	8000000	8004952	8005384	0	0	8005384	0.999381	0.999946	0.999327	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	262161	0	0	262161	0.999025	15.272684	15.257800	1000000
Title	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:502	1000000	138409995	140029279	21333063	0	0	21333063	0.988436	6.563956	6.488051	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003899	204451	0	0	204451	0.999026	19.583661	19.564590	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	8000000	7358546	5537310	62	3777871	1759439	1.087171	1.328903	1.444745	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:62	1000000	4000000	51712	8200	0	0	8200	77.351485	6.306341	487.804878	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003896	204469	0	0	204469	0.999027	19.581922	19.562868	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003960	719613	0	0	719613	0.999011	5.564046	5.558543	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	396756	0	0	396756	0.999026	10.091593	10.081763	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	8000000	8004955	1085045	0	0	1085045	0.999381	7.377533	7.372966	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	204277	0	0	204277	0.999026	19.600351	19.581255	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003896	318152	0	0	318152	0.999027	12.584853	12.572607	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003897	342326	0	0	342326	0.999027	11.696152	11.684768	1088411
URL	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:342	1000000	88562192	89785003	20796737	0	0	20796737	0.986381	4.317264	4.258466	88563396
Referer	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:294	1000000	79583339	80834353	19477572	0	0	19477572	0.984524	4.150125	4.085896	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003928	492072	0	0	492072	0.999019	8.136874	8.128892	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003932	509256	0	0	509256	0.999018	7.862317	7.854596	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003918	458255	0	0	458255	0.999021	8.737314	8.728765	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	272040	0	0	272040	0.999026	14.718056	14.703720	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003898	232362	0	0	232362	0.999026	17.231294	17.214519	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	373487	0	0	373487	0.999026	10.720320	10.709877	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003899	373332	0	0	373332	0.999026	10.724768	10.714324	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003899	283103	0	0	283103	0.999026	14.142906	14.129133	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	245460	0	0	245460	0.999026	16.311827	16.295934	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	328565	0	0	328565	0.999026	12.186021	12.174151	1318244
FlashMinor2	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:62	1000000	3354477	3708072	433034	0	0	433034	0.904642	8.563004	7.746452	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003899	219224	0	0	219224	0.999026	18.263963	18.246177	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	217411	0	0	217411	0.999026	18.416276	18.398333	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	365249	0	0	365249	0.999026	10.962114	10.951433	1885645
UserAgentMinor	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:62	1000000	3767530	4017192	328569	0	0	328569	0.937852	12.226327	11.466480	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003899	204997	0	0	204997	0.999026	19.531500	19.512481	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003897	205047	0	0	205047	0.999027	19.526728	19.507723	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003896	218585	0	0	218585	0.999027	18.317341	18.299517	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003899	215529	0	0	215529	0.999026	18.577078	18.558987	1001922
