column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	dictionary_page_count	dictionary_page_compressed_bytes	compressed_bytes_without_dictionary_pages	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	8000000	8004955	8005388	0	0	8005388	0.999381	0.999946	0.999327	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003897	262178	0	0	262178	0.999027	15.271674	15.256810	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:498	1000000	138409995	142876268	20906997	0	0	20906997	0.968740	6.833897	6.620271	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003899	204453	0	0	204453	0.999026	19.583469	19.564399	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	8000000	7358034	5536365	62	3779286	1757079	1.087247	1.329037	1.444991	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:62	1000000	4000000	52926	8278	0	0	8278	75.577221	6.393573	483.208504	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	204475	0	0	204475	0.999026	19.581372	19.562294	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003960	719526	0	0	719526	0.999011	5.564719	5.559215	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	396994	0	0	396994	0.999026	10.085545	10.075719	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	8000000	8004954	1085033	0	0	1085033	0.999381	7.377613	7.373048	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003899	204273	0	0	204273	0.999026	19.600725	19.581638	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003903	318288	0	0	318288	0.999025	12.579497	12.567235	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003899	342438	0	0	342438	0.999026	11.692333	11.680947	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:340	1000000	88562192	92649058	20460071	0	0	20460071	0.955889	4.528286	4.328538	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:294	1000000	79583339	83648518	19057579	0	0	19057579	0.951402	4.389252	4.175942	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003933	492078	0	0	492078	0.999018	8.136785	8.128793	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003931	509175	0	0	509175	0.999018	7.863566	7.855845	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003916	458225	0	0	458225	0.999022	8.737882	8.729336	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003899	271997	0	0	271997	0.999026	14.720379	14.706045	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	232438	0	0	232438	0.999026	17.225669	17.208890	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003903	373638	0	0	373638	0.999025	10.715995	10.705549	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003906	373312	0	0	373312	0.999024	10.725361	10.714898	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	283130	0	0	283130	0.999025	14.141567	14.127786	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003899	245463	0	0	245463	0.999026	16.311619	16.295735	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	328526	0	0	328526	0.999026	12.187468	12.175596	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	3354477	7358157	536776	0	0	536776	0.455885	13.708059	6.249305	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003896	219254	0	0	219254	0.999027	18.261450	18.243681	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	217438	0	0	217438	0.999025	18.413994	18.396049	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003905	365219	0	0	365219	0.999025	10.963025	10.952333	1885645
UserAgentMinor	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	3767530	7771204	467339	0	0	467339	0.484806	16.628623	8.061664	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	205101	0	0	205101	0.999026	19.521602	19.502587	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003896	205058	0	0	205058	0.999027	19.525676	19.506676	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	218583	0	0	218583	0.999025	18.317536	18.299685	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	215515	0	0	215515	0.999026	18.578289	18.560193	1001922
MobilePhoneModel	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	81583	4085177	220066	0	0	220066	0.019970	18.563417	0.370721	81583
Params	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	0	4002411	202785	0	0	202785	0.000000	19.737214	0.000000	0
IPNetworkID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003934	561206	0	0	561206	0.999017	7.134517	7.127508	6865544
TraficSourceID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003932	526971	0	0	526971	0.999018	7.598012	7.590551	1728158
SearchEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003896	293342	0	0	293342	0.999027	13.649242	13.635961	1006573
SearchPhrase	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	3528017	7535671	1098213	0	0	1098213	0.468176	6.861757	3.212507	3528108
AdvEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	220405	0	0	220405	0.999025	18.166112	18.148409	1004631
IsArtifical	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003934	505887	0	0	505887	0.999017	7.914681	7.906904	1000000
WindowClientWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003933	516922	0	0	516922	0.999018	7.745720	7.738111	3825106
WindowClientHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003944	552131	0	0	552131	0.999015	7.251801	7.244658	3055745
ClientTimeZone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	285966	0	0	285966	0.999026	14.001315	13.987677	2989177
