column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	dictionary_page_count	dictionary_page_compressed_bytes	compressed_bytes_without_dictionary_pages	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	8000000	9826195	9826949	58	8000928	1826021	0.814150	0.999923	0.814088	19000000
JavaEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	4000000	79827	69286	58	1102	68184	50.108359	1.152138	57.731721	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:508	1000000	138409995	64470659	17100392	0	0	17100392	2.146868	3.770128	8.093966	138440901
GoodEvent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	4000000	5043	5275	58	870	4405	793.178663	0.956019	758.293839	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:58	1000000	8000000	3367609	3038151	0	0	3038151	2.375573	1.108440	2.633181	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	4000000	5043	5275	58	870	4405	793.178663	0.956019	758.293839	10000000
CounterID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	4000000	5067	5299	58	894	4405	789.421749	0.956218	754.859407	2000000
ClientIP	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	4000000	942030	831522	58	336864	494658	4.246149	1.132898	4.810456	10032124
RegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	4000000	435032	286974	58	46408	240566	9.194726	1.515928	13.938545	2539898
UserID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	8000000	1228952	1123970	58	646111	477859	6.509611	1.093403	7.117628	18637316
CounterClass	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	4000000	5043	5275	58	870	4405	793.178663	0.956019	758.293839	1000000
OS	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	4000000	230213	148539	58	6425	142114	17.375213	1.549849	26.928955	1733675
UserAgent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	4000000	223595	164732	58	4129	160603	17.889488	1.357326	24.281864	1088411
URL	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:338	1000000	88562192	40463106	18075618	0	0	18075618	2.188715	2.238546	4.899539	88563396
Referer	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:324	1000000	79583339	38992282	17335068	0	0	17335068	2.041002	2.249330	4.590887	79585848
IsRefresh	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	4000000	92617	88590	58	1102	87488	43.188615	1.045457	45.151823	1000000
RefererCategoryID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	4000000	512438	280731	58	12894	267837	7.805822	1.825370	14.248515	4634835
RefererRegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	4000000	372237	219783	58	5644	214139	10.745842	1.693657	18.199770	2814059
