column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	dictionary_page_count	dictionary_page_compressed_bytes	compressed_bytes_without_dictionary_pages	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	8000000	9827892	9828672	60	8000960	1827712	0.814010	0.999921	0.813945	19000000
JavaEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	80177	69388	60	1140	68248	49.889619	1.155488	57.646855	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:514	1000000	138409995	142882054	20911161	0	0	20911161	0.968701	6.832813	6.618953	138440901
GoodEvent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	5218	5458	60	900	4558	766.577233	0.956028	732.869183	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	8000000	8004798	4283087	0	0	4283087	0.999401	1.868932	1.867812	19000000
EventDate	date	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:60	1000000	4000000	51613	8045	0	0	8045	77.499855	6.415538	497.203232	10000000
CounterID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	5247	5487	60	924	4563	762.340385	0.956260	728.995808	2000000
ClientIP	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	940610	829544	60	337092	492452	4.252560	1.133888	4.821926	10032124
RegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	436214	288829	60	46916	241913	9.169811	1.510285	13.849025	2539898
UserID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	8000000	1226257	1121626	60	646155	475471	6.523918	1.093285	7.132502	18637316
CounterClass	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	5218	5458	60	900	4558	766.577233	0.956028	732.869183	1000000
OS	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	230744	149364	60	6544	142820	17.335229	1.544843	26.780215	1733675
UserAgent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	226100	166135	60	4250	161885	17.691287	1.360941	24.076805	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:338	1000000	88562192	92650431	20474879	0	0	20474879	0.955875	4.525078	4.325407	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:296	1000000	79583339	83645787	19045813	0	0	19045813	0.951433	4.391820	4.178521	79585848
