column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	dictionary_page_count	dictionary_page_compressed_bytes	compressed_bytes_without_dictionary_pages	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	8000000	9826926	9827704	60	8000959	1826745	0.814090	0.999921	0.814025	19000000
JavaEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	80142	69448	60	1140	68308	49.911407	1.153986	57.597051	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:518	1000000	138409995	142876140	20905651	0	0	20905651	0.968741	6.834331	6.620698	138440901
GoodEvent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	5213	5453	60	900	4553	767.312488	0.955988	733.541170	1000000
EventTime	timestamp_millis	delta-binary-packed	DELTA_BINARY_PACKED	DATA_PAGE_V2/DELTA_BINARY_PACKED:60	1000000	8000000	3369038	3038753	0	0	3038753	2.374565	1.108691	2.632659	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	5213	5453	60	900	4553	767.312488	0.955988	733.541170	10000000
CounterID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	5239	5479	60	924	4555	763.504486	0.956196	730.060230	2000000
ClientIP	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	941728	830512	60	336992	493520	4.247511	1.133913	4.816306	10032124
RegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	436081	288650	60	46768	241882	9.172608	1.510760	13.857613	2539898
UserID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	8000000	1227152	1121323	60	646131	475192	6.519160	1.094379	7.134430	18637316
CounterClass	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	5213	5453	60	900	4553	767.312488	0.955988	733.541170	1000000
OS	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	230470	149563	60	6544	143019	17.355838	1.540956	26.744583	1733675
UserAgent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	228065	167261	60	4252	163009	17.538860	1.363528	23.914720	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:334	1000000	88562192	92650603	20466227	0	0	20466227	0.955873	4.527000	4.327236	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:310	1000000	79583339	83648154	19055114	0	0	19055114	0.951406	4.389801	4.176482	79585848
IsRefresh	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	92819	88776	60	1140	87636	43.094625	1.045542	45.057223	1000000
RefererCategoryID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	517911	283748	60	13098	270650	7.723335	1.825250	14.097016	4634835
RefererRegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	377395	218749	60	5799	212950	10.598975	1.725242	18.285798	2814059
URLCategoryID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	161943	91976	60	5818	86158	24.700049	1.760709	43.489606	4525496
URLRegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	74912	52544	60	3638	48906	53.395985	1.425700	76.126675	2981244
ResolutionWidth	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	366122	242863	60	18566	224297	10.925320	1.507525	16.470191	3967065
ResolutionHeight	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	371953	243971	60	21435	222536	10.754047	1.524579	16.395391	3407277
ResolutionDepth	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	111503	87638	60	1628	86010	35.873474	1.272313	45.642301	1994256
FlashMajor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	88985	68639	60	2020	66619	44.951396	1.296420	58.275907	1923540
FlashMinor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	215315	153649	60	2820	150829	18.577433	1.401343	26.033362	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	3354477	7358040	536713	0	0	536713	0.455893	13.709450	6.250039	3354477
NetMajor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	36841	32210	60	1596	30614	108.574686	1.143775	124.185036	1000000
NetMinor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	33417	29140	60	1360	27780	119.699554	1.146774	137.268360	1000000
UserAgentMajor	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	276974	215400	60	7777	207623	14.441789	1.285859	18.570102	1885645
UserAgentMinor	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	3767530	7771086	467198	0	0	467198	0.484814	16.633389	8.064097	3777059
CookieEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	6338	6582	60	1068	5514	631.113916	0.962929	607.718019	1000000
JavascriptEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	6649	6876	60	1112	5764	601.594225	0.966987	581.733566	1000000
IsMobile	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	30208	28428	60	1140	27288	132.415254	1.062614	140.706346	1000000
MobilePhone	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	34631	29970	60	2528	27442	115.503451	1.155522	133.466800	1001922
MobilePhoneModel	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	81583	4085062	219894	0	0	219894	0.019971	18.577415	0.371011	81583
Params	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	0	4002335	202708	0	0	202708	0.000000	19.744337	0.000000	0
IPNetworkID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	752801	642265	60	201044	441221	5.313489	1.172103	6.227959	6865544
TraficSourceID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	289773	244629	60	2416	242213	13.803909	1.184541	16.351291	1728158
SearchEngineID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	168361	104962	60	3536	101426	23.758471	1.604019	38.109030	1006573
SearchPhrase	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	3528017	7535342	1096612	0	0	1096612	0.468196	6.871475	3.217197	3528108
AdvEngineID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	35040	30261	60	1312	28949	114.155251	1.157926	132.183338	1004631
IsArtifical	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	81197	81563	60	1140	80423	49.262904	0.995513	49.041845	1000000
WindowClientWidth	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	697254	514505	60	87592	426913	5.736790	1.355194	7.774463	3825106
WindowClientHeight	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	4000000	747858	602861	60	121454	481407	5.348609	1.240515	6.635029	3055745
