column	type	plain_pages	rle_dict_pages	comparison_windows	rows_compared	plain_window_wins	rle_dict_window_wins	tie_window_wins	plain_window_win_pct	rle_dict_window_win_pct	tie_window_win_pct	plain_rows_won	rle_dict_rows_won	tie_rows_won	plain_row_win_pct	rle_dict_row_win_pct	tie_row_win_pct	plain_allocated_compressed_bytes	rle_dict_allocated_compressed_bytes_with_amortized_dictionary	rle_dict_allocated_to_plain_ratio	uncompressed_bytes_for_ratio	plain_snappy_aggregate_to_uncompressed_ratio	rle_dict_snappy_aggregate_to_uncompressed_ratio	rle_dict_ratio_advantage_vs_plain	absolute_plain_rle_ratio_difference	winner_by_allocated_bytes	rle_dict_allocated_compressed_bytes_without_dictionary_pages	rle_dict_without_dictionary_allocated_to_plain_ratio	winner_without_dictionary_pages	rle_dict_without_dictionary_overhead_flip_window_wins	rle_dict_without_dictionary_overhead_flip_window_win_pct	rle_dict_without_dictionary_overhead_flip_rows	rle_dict_without_dictionary_overhead_flip_row_pct	plain_total_page_compressed_bytes	rle_dict_total_page_compressed_bytes_with_amortized_dictionary	rle_dict_total_page_compressed_bytes_without_dictionary_pages	exact_matched_pages	exact_plain_wins	exact_rle_dict_wins	exact_ties	unmatched_plain_pages	unmatched_rle_dict_pages	plain_snappy_to_uncompressed_ratio_count	plain_snappy_to_uncompressed_ratio_min	plain_snappy_to_uncompressed_ratio_median	plain_snappy_to_uncompressed_ratio_max	rle_dict_snappy_to_uncompressed_ratio_count	rle_dict_snappy_to_uncompressed_ratio_min	rle_dict_snappy_to_uncompressed_ratio_median	rle_dict_snappy_to_uncompressed_ratio_max	plain_win_plain_snappy_to_uncompressed_ratio_count	plain_win_plain_snappy_to_uncompressed_ratio_min	plain_win_plain_snappy_to_uncompressed_ratio_median	plain_win_plain_snappy_to_uncompressed_ratio_max	plain_win_rle_dict_snappy_to_uncompressed_ratio_count	plain_win_rle_dict_snappy_to_uncompressed_ratio_min	plain_win_rle_dict_snappy_to_uncompressed_ratio_median	plain_win_rle_dict_snappy_to_uncompressed_ratio_max	rle_dict_win_rle_dict_snappy_to_uncompressed_ratio_count	rle_dict_win_rle_dict_snappy_to_uncompressed_ratio_min	rle_dict_win_rle_dict_snappy_to_uncompressed_ratio_median	rle_dict_win_rle_dict_snappy_to_uncompressed_ratio_max	rle_dict_win_plain_snappy_to_uncompressed_ratio_count	rle_dict_win_plain_snappy_to_uncompressed_ratio_min	rle_dict_win_plain_snappy_to_uncompressed_ratio_median	rle_dict_win_plain_snappy_to_uncompressed_ratio_max
IsArtifical	INT(16,true)	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	505868.000000	81722.000000	0.161548	4003876.000000	0.126345	0.020411	0.105934	0.105934	rle-dict	79994.000000	0.158132	rle-dict	0	0.000000	0	0.000000	505868.000000	81722.000000	79994.000000	0	0	0	0	61	61	121	0.051205	0.177351	0.183470	121	0.002121	0.032523	0.034361	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.002121	0.032523	0.034361	121	0.051205	0.177351	0.183470
IsRefresh	INT(16,true)	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	492036.000000	89066.000000	0.181015	4003873.000000	0.122890	0.022245	0.100645	0.100645	rle-dict	87346.000000	0.177520	rle-dict	0	0.000000	0	0.000000	492036.000000	89066.000000	87346.000000	0	0	0	0	61	61	121	0.052808	0.063887	0.188970	121	0.004871	0.015777	0.033052	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.004871	0.015777	0.033052	121	0.052808	0.063887	0.188970
Title	STRING	584	61	644	1000000	3	641	0	0.465839	99.534161	0.000000	11764	988236	0	1.176400	98.823600	0.000000	20906222.000000	10005931.000000	0.478610	142874702.000000	0.146326	0.070033	0.076293	0.076293	rle-dict	1137484.000000	0.054409	rle-dict	3	0.465839	11764	1.176400	20906222.000000	10005931.000000	1137484.000000	0	0	0	0	584	61	644	0.073160	0.151752	0.201513	644	0.019473	0.070790	0.380019	3	0.073160	0.078905	0.093822	3	0.095151	0.363988	0.380019	641	0.019473	0.070766	0.092871	641	0.073160	0.151776	0.201513
TraficSourceID	INT(16,true)	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	526869.000000	244705.000000	0.464451	4003874.000000	0.131590	0.061117	0.070473	0.070473	rle-dict	241660.000000	0.458672	rle-dict	0	0.000000	0	0.000000	526869.000000	244705.000000	241660.000000	0	0	0	0	61	61	121	0.105946	0.137250	0.195162	121	0.049139	0.063512	0.082437	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.049139	0.063512	0.082437	121	0.105946	0.137250	0.195162
RefererRegionID	INT(32,true)	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	458123.000000	221002.000000	0.482408	4003856.000000	0.114420	0.055197	0.059223	0.059223	rle-dict	214506.000000	0.468228	rle-dict	0	0.000000	0	0.000000	458123.000000	221002.000000	214506.000000	0	0	0	0	61	61	121	0.099010	0.110139	0.173635	121	0.047799	0.054247	0.069150	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.047799	0.054247	0.069150	121	0.099010	0.110139	0.173635
DontCountHits	INT(16,true)	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	295708.000000	59967.000000	0.202791	4003841.000000	0.073856	0.014977	0.058879	0.058879	rle-dict	58255.000000	0.197002	rle-dict	0	0.000000	0	0.000000	295708.000000	59967.000000	58255.000000	0	0	0	0	61	61	121	0.051868	0.077491	0.180860	121	0.003388	0.022657	0.034333	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.003388	0.022657	0.034333	121	0.051868	0.077491	0.180860
RefererCategoryID	INT(16,true)	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	509008.000000	283272.000000	0.556518	4003868.000000	0.127129	0.070750	0.056379	0.056379	rle-dict	269260.000000	0.528990	rle-dict	0	0.000000	0	0.000000	509008.000000	283272.000000	269260.000000	0	0	0	0	61	61	121	0.106516	0.125215	0.193846	121	0.056143	0.075015	0.104629	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.056143	0.075015	0.104629	121	0.106516	0.125215	0.193846
IsNotBounce	INT(16,true)	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	235444.000000	16928.000000	0.071898	4003845.000000	0.058804	0.004228	0.054577	0.054577	rle-dict	15305.000000	0.065005	rle-dict	0	0.000000	0	0.000000	235444.000000	16928.000000	15305.000000	0	0	0	0	61	61	121	0.050858	0.051135	0.150931	121	0.001165	0.001412	0.036783	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.001165	0.001412	0.036783	121	0.050858	0.051135	0.150931
HitColor	STRING	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	294413.000000	32065.000000	0.108912	5003112.000000	0.058846	0.006409	0.052437	0.052437	rle-dict	29985.000000	0.101847	rle-dict	0	0.000000	0	0.000000	294413.000000	32065.000000	29985.000000	0	0	0	0	61	61	121	0.050738	0.052355	0.142289	121	0.001120	0.003656	0.049132	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.001120	0.003656	0.049132	121	0.050738	0.052355	0.142289
IsLink	INT(16,true)	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	256552.000000	47709.000000	0.185962	4003843.000000	0.064076	0.011916	0.052161	0.052161	rle-dict	46084.000000	0.179628	rle-dict	0	0.000000	0	0.000000	256552.000000	47709.000000	46084.000000	0	0	0	0	61	61	121	0.050858	0.063392	0.084455	121	0.001165	0.014384	0.025859	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.001165	0.014384	0.025859	121	0.050858	0.063392	0.084455
PageCharset	STRING	92	61	152	1000000	0	152	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	924713.000000	9242.000000	0.009994	17595482.000000	0.052554	0.000525	0.052029	0.052029	rle-dict	6492.000000	0.007021	rle-dict	0	0.000000	0	0.000000	924713.000000	9242.000000	6492.000000	0	0	0	0	92	61	152	0.050393	0.050780	0.061621	152	0.000326	0.000456	0.001574	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	152	0.000326	0.000456	0.001574	152	0.050393	0.050780	0.061621
Referer	STRING	352	61	412	1000000	18	394	0	4.368932	95.631068	0.000000	49805	950195	0	4.980500	95.019500	0.000000	19049622.000000	14806515.000000	0.777260	83645311.000000	0.227743	0.177015	0.050727	0.050727	rle-dict	1271142.000000	0.066728	rle-dict	18	4.368932	49805	4.980500	19049622.000000	14806515.000000	1271142.000000	0	0	0	0	352	61	412	0.117936	0.190104	0.361734	412	0.060048	0.126972	0.319813	18	0.119842	0.274489	0.295248	18	0.173804	0.292782	0.319813	394	0.060048	0.125224	0.287636	394	0.117936	0.189379	0.361734
HistoryLength	INT(16,true)	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	258329.000000	58757.000000	0.227450	4003843.000000	0.064520	0.014675	0.049845	0.049845	rle-dict	54757.000000	0.211966	rle-dict	0	0.000000	0	0.000000	258329.000000	58757.000000	54757.000000	0	0	0	0	61	61	121	0.051043	0.051494	0.222658	121	0.001297	0.002057	0.174219	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.001297	0.002057	0.174219	121	0.051043	0.051494	0.222658
ParamCurrency	STRING	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	354326.000000	5483.000000	0.015474	7003596.000000	0.050592	0.000783	0.049809	0.049809	rle-dict	3775.000000	0.010654	rle-dict	0	0.000000	0	0.000000	354326.000000	5483.000000	3775.000000	0	0	0	0	61	61	121	0.050492	0.050526	0.050842	121	0.000659	0.000772	0.001771	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.000659	0.000772	0.001771	121	0.050492	0.050526	0.050842
ParamPrice	INT(64,true)	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	405190.000000	6764.000000	0.016693	8004814.000000	0.050618	0.000845	0.049773	0.049773	rle-dict	4995.000000	0.012328	rle-dict	0	0.000000	0	0.000000	405190.000000	6764.000000	4995.000000	0	0	0	0	61	61	121	0.050523	0.050551	0.050874	121	0.000711	0.000833	0.001928	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.000711	0.000833	0.001928	121	0.050523	0.050551	0.050874
GoodEvent	INT(16,true)	61	61	121	1000000	0	121	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	204379.000000	5544.000000	0.027126	4003842.000000	0.051046	0.001385	0.049661	0.049661	rle-dict	4019.000000	0.019664	rle-dict	0	0.000000	0	0.000000	204379.000000	5544.000000	4019.000000	0	0	0	0	61	61	121	0.050889	0.050935	0.051509	121	0.001165	0.001366	0.003134	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	121	0.001165	0.001366	0.003134	121	0.050889	0.050935	0.051509
