column	type	plain_pages	rle_dict_pages	comparison_windows	rows_compared	plain_window_wins	rle_dict_window_wins	tie_window_wins	plain_window_win_pct	rle_dict_window_win_pct	tie_window_win_pct	plain_rows_won	rle_dict_rows_won	tie_rows_won	plain_row_win_pct	rle_dict_row_win_pct	tie_row_win_pct	plain_allocated_compressed_bytes	rle_dict_allocated_compressed_bytes_with_amortized_dictionary	rle_dict_allocated_to_plain_ratio	best_pagewise_allocated_compressed_bytes	best_pagewise_savings_vs_plain_bytes	best_pagewise_allocated_to_plain_ratio	uncompressed_bytes_for_ratio	plain_zstd_aggregate_to_uncompressed_ratio	rle_dict_zstd_aggregate_to_uncompressed_ratio	best_pagewise_zstd_aggregate_to_uncompressed_ratio	rle_dict_ratio_advantage_vs_plain	absolute_plain_rle_ratio_difference	winner_by_allocated_bytes	rle_dict_allocated_compressed_bytes_without_dictionary_pages	rle_dict_without_dictionary_allocated_to_plain_ratio	winner_without_dictionary_pages	rle_dict_without_dictionary_overhead_flip_window_wins	rle_dict_without_dictionary_overhead_flip_window_win_pct	rle_dict_without_dictionary_overhead_flip_rows	rle_dict_without_dictionary_overhead_flip_row_pct	plain_total_page_compressed_bytes	rle_dict_total_page_compressed_bytes_with_amortized_dictionary	rle_dict_total_page_compressed_bytes_without_dictionary_pages	exact_matched_pages	exact_plain_wins	exact_rle_dict_wins	exact_ties	unmatched_plain_pages	unmatched_rle_dict_pages	plain_zstd_to_uncompressed_ratio_count	plain_zstd_to_uncompressed_ratio_min	plain_zstd_to_uncompressed_ratio_median	plain_zstd_to_uncompressed_ratio_max	rle_dict_zstd_to_uncompressed_ratio_count	rle_dict_zstd_to_uncompressed_ratio_min	rle_dict_zstd_to_uncompressed_ratio_median	rle_dict_zstd_to_uncompressed_ratio_max	plain_win_plain_zstd_to_uncompressed_ratio_count	plain_win_plain_zstd_to_uncompressed_ratio_min	plain_win_plain_zstd_to_uncompressed_ratio_median	plain_win_plain_zstd_to_uncompressed_ratio_max	plain_win_rle_dict_zstd_to_uncompressed_ratio_count	plain_win_rle_dict_zstd_to_uncompressed_ratio_min	plain_win_rle_dict_zstd_to_uncompressed_ratio_median	plain_win_rle_dict_zstd_to_uncompressed_ratio_max	rle_dict_win_rle_dict_zstd_to_uncompressed_ratio_count	rle_dict_win_rle_dict_zstd_to_uncompressed_ratio_min	rle_dict_win_rle_dict_zstd_to_uncompressed_ratio_median	rle_dict_win_rle_dict_zstd_to_uncompressed_ratio_max	rle_dict_win_plain_zstd_to_uncompressed_ratio_count	rle_dict_win_plain_zstd_to_uncompressed_ratio_min	rle_dict_win_plain_zstd_to_uncompressed_ratio_median	rle_dict_win_plain_zstd_to_uncompressed_ratio_max
Title	STRING	576	60	635	1000000	3	632	0	0.472441	99.527559	0.000000	17791	982209	0	1.779100	98.220900	0.000000	13939135.000000	7975230.000000	0.572147	7936989.263855	6002145.736145	0.569403	142869584.000000	0.097565	0.055822	0.055554	0.041744	0.041744	rle-dict	1060830.000000	0.076104	rle-dict	3	0.472441	17791	1.779100	13939135.000000	7975230.000000	1060830.000000	0	0	0	0	576	60	635	0.032807	0.099502	0.194557	635	0.014437	0.055935	0.132086	3	0.034208	0.049715	0.052039	3	0.114345	0.127402	0.132086	632	0.014437	0.055891	0.068429	632	0.032807	0.099570	0.194557
Referer	STRING	352	60	411	1000000	18	393	0	4.379562	95.620438	0.000000	50233	949767	0	5.023300	94.976700	0.000000	14218039.000000	11752116.000000	0.826564	11704390.612368	2513648.387632	0.823207	83647728.000000	0.169975	0.140495	0.139925	0.029480	0.029480	rle-dict	1240861.000000	0.087274	rle-dict	18	4.379562	50233	5.023300	14218039.000000	11752116.000000	1240861.000000	0	0	0	0	352	60	411	0.072144	0.139882	0.283201	411	0.041164	0.102904	0.381163	18	0.076406	0.210713	0.224366	18	0.099918	0.219645	0.381163	393	0.041164	0.102152	0.238244	393	0.072144	0.138819	0.283201
URL	STRING	390	60	449	1000000	22	427	0	4.899777	95.100223	0.000000	44586	955414	0	4.458600	95.541400	0.000000	15306955.000000	12707286.000000	0.830164	12638231.029206	2668723.970794	0.825653	92652677.000000	0.165208	0.137150	0.136404	0.028058	0.028058	rle-dict	1530667.000000	0.099998	rle-dict	22	4.899777	44586	4.458600	15306955.000000	12707286.000000	1530667.000000	0	0	0	0	390	60	449	0.098711	0.176355	0.261668	449	0.073487	0.146652	0.250311	22	0.138043	0.197248	0.215488	22	0.186115	0.209387	0.250311	427	0.073487	0.140912	0.211778	427	0.098711	0.175042	0.261668
TraficSourceID	INT(16,true)	57	60	116	1000000	1	115	0	0.862069	99.137931	0.000000	639	999361	0	0.063900	99.936100	0.000000	288326.000000	178371.000000	0.618643	178356.447644	109969.552356	0.618593	4003588.000000	0.072017	0.044553	0.044549	0.027464	0.027464	rle-dict	174937.000000	0.606733	rle-dict	0	0.000000	0	0.000000	288326.000000	178371.000000	174937.000000	0	0	0	0	57	60	116	0.053903	0.078419	0.113471	116	0.034709	0.045153	0.063982	1	0.057398	0.057398	0.057398	1	0.063086	0.063086	0.063086	115	0.034709	0.045150	0.063982	115	0.053903	0.078419	0.113471
IsRefresh	INT(16,true)	57	60	116	1000000	4	112	0	3.448276	96.551724	0.000000	29594	970406	0	2.959400	97.040600	0.000000	178941.000000	84103.000000	0.470004	83938.110970	95002.889030	0.469083	4003587.000000	0.044695	0.021007	0.020966	0.023688	0.023688	rle-dict	81943.000000	0.457933	rle-dict	0	0.000000	0	0.000000	178941.000000	84103.000000	81943.000000	0	0	0	0	57	60	116	0.004760	0.014311	0.079629	116	0.004690	0.010894	0.033132	4	0.004760	0.006312	0.010814	4	0.006460	0.007645	0.012261	112	0.004690	0.011598	0.033132	112	0.004760	0.047359	0.079629
IsArtifical	INT(16,true)	57	60	116	1000000	39	77	0	33.620690	66.379310	0.000000	326111	673889	0	32.611100	67.388900	0.000000	164989.000000	82436.000000	0.499645	81790.279729	83198.720271	0.495732	4003586.000000	0.041210	0.020591	0.020429	0.020620	0.020620	rle-dict	80276.000000	0.486554	rle-dict	27	23.275862	258530	25.853000	164989.000000	82436.000000	80276.000000	0	0	0	0	57	60	116	0.001801	0.065389	0.078560	116	0.002397	0.032716	0.034559	39	0.001801	0.002520	0.003194	39	0.002415	0.002963	0.008518	77	0.002397	0.032892	0.034559	77	0.002599	0.067223	0.078560
RefererRegionID	INT(32,true)	57	60	116	1000000	0	116	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	231356.000000	165218.000000	0.714129	165218.000000	66138.000000	0.714129	4003586.000000	0.057787	0.041268	0.041268	0.016520	0.016520	rle-dict	158387.000000	0.684603	rle-dict	0	0.000000	0	0.000000	231356.000000	165218.000000	158387.000000	0	0	0	0	57	60	116	0.048082	0.056353	0.081600	116	0.033819	0.041274	0.050052	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	116	0.033819	0.041274	0.050052	116	0.048082	0.056353	0.081600
RefererCategoryID	INT(16,true)	57	60	116	1000000	1	115	0	0.862069	99.137931	0.000000	639	999361	0	0.063900	99.936100	0.000000	275135.000000	216084.000000	0.785374	216019.631208	59115.368792	0.785140	4003585.000000	0.068722	0.053973	0.053957	0.014750	0.014750	rle-dict	201983.000000	0.734123	rle-dict	0	0.000000	0	0.000000	275135.000000	216084.000000	201983.000000	0	0	0	0	57	60	116	0.054476	0.070105	0.106856	116	0.043009	0.053601	0.081739	1	0.056569	0.056569	0.056569	1	0.081729	0.081729	0.081729	115	0.043009	0.053418	0.081739	115	0.054476	0.070105	0.106856
OriginalURL	STRING	151	60	210	1000000	38	172	0	18.095238	81.904762	0.000000	107992	892008	0	10.799200	89.200800	0.000000	5323588.000000	4887325.000000	0.918051	4787860.199727	535727.800273	0.899367	31856344.000000	0.167112	0.153418	0.150295	0.013695	0.013695	rle-dict	361291.000000	0.067866	rle-dict	37	17.619048	107353	10.735300	5323588.000000	4887325.000000	361291.000000	0	0	0	0	151	60	210	0.062913	0.169155	0.251733	210	0.052371	0.147267	1.941704	38	0.062913	0.181083	0.228109	38	0.069551	0.200349	1.941704	172	0.052371	0.140239	0.219979	172	0.062913	0.153546	0.251733
FlashMinor2	STRING	57	60	116	1000000	0	116	0	0.000000	100.000000	0.000000	0	1000000	0	0.000000	100.000000	0.000000	246539.000000	146647.000000	0.594823	146647.000000	99892.000000	0.594823	7357828.000000	0.033507	0.019931	0.019931	0.013576	0.013576	rle-dict	138036.000000	0.559895	rle-dict	0	0.000000	0	0.000000	246539.000000	146647.000000	138036.000000	0	0	0	0	57	60	116	0.028893	0.032768	0.044681	116	0.016811	0.019726	0.026607	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	116	0.016811	0.019726	0.026607	116	0.028893	0.032768	0.044681
