column	type	plain_pages	rle_dict_pages	comparison_windows	rows_compared	plain_window_wins	rle_dict_window_wins	tie_window_wins	plain_window_win_pct	rle_dict_window_win_pct	tie_window_win_pct	plain_rows_won	rle_dict_rows_won	tie_rows_won	plain_row_win_pct	rle_dict_row_win_pct	tie_row_win_pct	plain_allocated_compressed_bytes	rle_dict_allocated_compressed_bytes_with_amortized_dictionary	rle_dict_allocated_vs_plain_pct	winner_by_allocated_bytes	plain_total_page_compressed_bytes	rle_dict_total_page_compressed_bytes_with_amortized_dictionary	exact_matched_pages	exact_plain_wins	exact_rle_dict_wins	exact_ties	unmatched_plain_pages	unmatched_rle_dict_pages
AdvEngineID	INT(16,true)	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	650.000000	461.000000	-29.076923	rle-dict	650.000000	461.000000	1	0	1	0	0	0
Age	INT(16,true)	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	1493.000000	1371.000000	-8.171467	rle-dict	1493.000000	1371.000000	1	0	1	0	0	0
BrowserCountry	STRING	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	1131.000000	653.000000	-42.263484	rle-dict	1131.000000	653.000000	1	0	1	0	0	0
BrowserLanguage	STRING	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	402.000000	353.000000	-12.189055	rle-dict	402.000000	353.000000	1	0	1	0	0	0
ClientTimeZone	INT(16,true)	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	809.000000	741.000000	-8.405439	rle-dict	809.000000	741.000000	1	0	1	0	0	0
FlashMajor	INT(16,true)	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	791.000000	720.000000	-8.975980	rle-dict	791.000000	720.000000	1	0	1	0	0	0
FlashMinor	INT(16,true)	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	1238.000000	1228.000000	-0.807754	rle-dict	1238.000000	1228.000000	1	0	1	0	0	0
FlashMinor2	STRING	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	2686.000000	1692.000000	-37.006701	rle-dict	2686.000000	1692.000000	1	0	1	0	0	0
HasGCLID	INT(16,true)	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	455.000000	418.000000	-8.131868	rle-dict	455.000000	418.000000	1	0	1	0	0	0
Income	INT(16,true)	1	1	1	10000	0	1	0	0.000000	100.000000	0.000000	0	10000	0	0.000000	100.000000	0.000000	1273.000000	981.000000	-22.937942	rle-dict	1273.000000	981.000000	1	0	1	0	0	0
