column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	8000000	8006312	8006312	0.999212	1.000000	0.999212	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005050	4005050	0.998739	1.000000	0.998739	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:603	1000000	138409995	142885454	142885454	0.968678	1.000000	0.968678	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005053	4005053	0.998738	1.000000	0.998738	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	8000000	8006315	8006315	0.999211	1.000000	0.999211	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005045	4005045	0.998740	1.000000	0.998740	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005052	4005052	0.998739	1.000000	0.998739	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005050	4005050	0.998739	1.000000	0.998739	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005048	4005048	0.998740	1.000000	0.998740	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	8000000	8006315	8006315	0.999211	1.000000	0.999211	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005054	4005054	0.998738	1.000000	0.998738	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005049	4005049	0.998739	1.000000	0.998739	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005053	4005053	0.998738	1.000000	0.998738	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:396	1000000	88562192	92653185	92653185	0.955846	1.000000	0.955846	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:349	1000000	79583339	83647157	83647157	0.951417	1.000000	0.951417	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005051	4005051	0.998739	1.000000	0.998739	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005053	4005053	0.998738	1.000000	0.998738	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005050	4005050	0.998739	1.000000	0.998739	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005048	4005048	0.998740	1.000000	0.998740	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005049	4005049	0.998739	1.000000	0.998739	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005053	4005053	0.998738	1.000000	0.998738	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005050	4005050	0.998739	1.000000	0.998739	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005051	4005051	0.998739	1.000000	0.998739	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005053	4005053	0.998738	1.000000	0.998738	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005048	4005048	0.998740	1.000000	0.998740	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	3354477	7359204	7359204	0.455821	1.000000	0.455821	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005052	4005052	0.998739	1.000000	0.998739	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005046	4005046	0.998740	1.000000	0.998740	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005050	4005050	0.998739	1.000000	0.998739	1885645
UserAgentMinor	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	3767530	7772251	7772251	0.484741	1.000000	0.484741	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005052	4005052	0.998739	1.000000	0.998739	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005051	4005051	0.998739	1.000000	0.998739	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005047	4005047	0.998740	1.000000	0.998740	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005050	4005050	0.998739	1.000000	0.998739	1001922
MobilePhoneModel	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	81583	4086223	4086223	0.019965	1.000000	0.019965	81583
Params	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	0	4003158	4003158	0.000000	1.000000	0.000000	0
IPNetworkID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005052	4005052	0.998739	1.000000	0.998739	6865544
TraficSourceID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005051	4005051	0.998739	1.000000	0.998739	1728158
SearchEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005050	4005050	0.998739	1.000000	0.998739	1006573
SearchPhrase	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	3528017	7537911	7537911	0.468036	1.000000	0.468036	3528108
AdvEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005053	4005053	0.998738	1.000000	0.998738	1004631
IsArtifical	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005048	4005048	0.998740	1.000000	0.998740	1000000
WindowClientWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005052	4005052	0.998739	1.000000	0.998739	3825106
WindowClientHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005051	4005051	0.998739	1.000000	0.998739	3055745
ClientTimeZone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005051	4005051	0.998739	1.000000	0.998739	2989177
ClientEventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	8000000	8006314	8006314	0.999211	1.000000	0.999211	19000000
SilverlightVersion1	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005050	4005050	0.998739	1.000000	0.998739	1000017
SilverlightVersion2	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005055	4005055	0.998738	1.000000	0.998738	1000000
SilverlightVersion3	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005051	4005051	0.998739	1.000000	0.998739	2728282
SilverlightVersion4	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005054	4005054	0.998738	1.000000	0.998738	1000000
PageCharset	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:122	1000000	13587860	17598960	17598960	0.772083	1.000000	0.772083	13587860
CodeVersion	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005053	4005053	0.998738	1.000000	0.998738	3997297
IsLink	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005053	4005053	0.998738	1.000000	0.998738	1000000
IsDownload	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005055	4005055	0.998738	1.000000	0.998738	1000000
IsNotBounce	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005054	4005054	0.998738	1.000000	0.998738	1000000
FUniqID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	8000000	8006317	8006317	0.999211	1.000000	0.999211	18077896
OriginalURL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:173	1000000	27797671	31865983	31865983	0.872331	1.000000	0.872331	27797732
HID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005051	4005051	0.998739	1.000000	0.998739	8956330
IsOldCounter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005054	4005054	0.998738	1.000000	0.998738	1000000
IsEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005054	4005054	0.998738	1.000000	0.998738	1000000
IsParameter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005054	4005054	0.998738	1.000000	0.998738	1000000
DontCountHits	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005049	4005049	0.998739	1.000000	0.998739	1000000
WithHash	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005054	4005054	0.998738	1.000000	0.998738	1000000
HitColor	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	1000000	5004106	5004106	0.199836	1.000000	0.199836	1000000
LocalEventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	8000000	8006317	8006317	0.999211	1.000000	0.999211	19000000
Age	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005052	4005052	0.998739	1.000000	0.998739	1740725
Sex	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005052	4005052	0.998739	1.000000	0.998739	1000000
Income	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005054	4005054	0.998738	1.000000	0.998738	1000000
Interests	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005050	4005050	0.998739	1.000000	0.998739	2180312
Robotness	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005054	4005054	0.998738	1.000000	0.998738	1423051
RemoteIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005047	4005047	0.998740	1.000000	0.998740	10016734
WindowName	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005052	4005052	0.998739	1.000000	0.998739	2197789
OpenerName	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005046	4005046	0.998740	1.000000	0.998740	2000000
HistoryLength	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005054	4005054	0.998738	1.000000	0.998738	1940175
BrowserLanguage	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	2001192	6005761	6005761	0.333212	1.000000	0.333212	2001192
BrowserCountry	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	3325142	7329878	7329878	0.453642	1.000000	0.453642	3987713
SocialNetwork	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	0	4003158	4003158	0.000000	1.000000	0.000000	0
SocialAction	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	0	4003158	4003158	0.000000	1.000000	0.000000	0
HTTPError	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005054	4005054	0.998738	1.000000	0.998738	1000000
SendTiming	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005054	4005054	0.998738	1.000000	0.998738	1035866
DNSTiming	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005051	4005051	0.998739	1.000000	0.998739	1026953
ConnectTiming	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005051	4005051	0.998739	1.000000	0.998739	1145637
ResponseStartTiming	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005050	4005050	0.998739	1.000000	0.998739	2288673
ResponseEndTiming	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005051	4005051	0.998739	1.000000	0.998739	1573269
FetchTiming	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005053	4005053	0.998738	1.000000	0.998738	1273464
SocialSourceNetworkID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005053	4005053	0.998738	1.000000	0.998738	1000056
SocialSourcePage	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	1024	4005153	4005153	0.000256	1.000000	0.000256	1024
ParamPrice	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	8000000	8006318	8006318	0.999211	1.000000	0.999211	1000000
ParamOrderID	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	0	4003158	4003158	0.000000	1.000000	0.000000	0
ParamCurrency	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	3000000	7004733	7004733	0.428282	1.000000	0.428282	3000000
ParamCurrencyID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	4000000	4005054	4005054	0.998738	1.000000	0.998738	1000000
OpenstatServiceName	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	58030	4064307	4064307	0.014278	1.000000	0.014278	58030
OpenstatCampaignID	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	22051	4027078	4027078	0.005476	1.000000	0.005476	22051
OpenstatAdID	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	25445	4030476	4030476	0.006313	1.000000	0.006313	25445
OpenstatSourceID	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	48191	4053388	4053388	0.011889	1.000000	0.011889	48191
UTMSource	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	49433	4054721	4054721	0.012191	1.000000	0.012191	49433
UTMMedium	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:79	1000000	16873	4021208	4021208	0.004196	1.000000	0.004196	16873
