column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	8000000	8012234	8012234	0.998473	1.000000	0.998473	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009729	4009729	0.997574	1.000000	0.997574	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	138409995	142927721	142927721	0.968392	1.000000	0.968392	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009727	4009727	0.997574	1.000000	0.997574	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:157, DICTIONARY_PAGE/PLAIN:157	1000000	8000000	7385362	7385362	1.083224	1.000000	1.083224	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:157, DICTIONARY_PAGE/PLAIN:157	1000000	4000000	13407	13407	298.351607	1.000000	298.351607	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009721	4009721	0.997576	1.000000	0.997576	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009725	4009725	0.997575	1.000000	0.997575	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009723	4009723	0.997575	1.000000	0.997575	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	8000000	8012237	8012237	0.998473	1.000000	0.998473	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009730	4009730	0.997573	1.000000	0.997573	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009722	4009722	0.997575	1.000000	0.997575	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009728	4009728	0.997574	1.000000	0.997574	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	88562192	92675833	92675833	0.955613	1.000000	0.955613	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	79583339	83660660	83660660	0.951264	1.000000	0.951264	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009726	4009726	0.997574	1.000000	0.997574	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009726	4009726	0.997574	1.000000	0.997574	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009728	4009728	0.997574	1.000000	0.997574	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009717	4009717	0.997577	1.000000	0.997577	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009727	4009727	0.997574	1.000000	0.997574	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009724	4009724	0.997575	1.000000	0.997575	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009722	4009722	0.997575	1.000000	0.997575	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009721	4009721	0.997576	1.000000	0.997576	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009725	4009725	0.997575	1.000000	0.997575	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009723	4009723	0.997575	1.000000	0.997575	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	3354477	7363572	7363572	0.455550	1.000000	0.455550	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009727	4009727	0.997574	1.000000	0.997574	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009727	4009727	0.997574	1.000000	0.997574	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009728	4009728	0.997574	1.000000	0.997574	1885645
UserAgentMinor	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	3767530	7776656	7776656	0.484467	1.000000	0.484467	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009726	4009726	0.997574	1.000000	0.997574	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009725	4009725	0.997575	1.000000	0.997575	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009730	4009730	0.997573	1.000000	0.997573	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009727	4009727	0.997574	1.000000	0.997574	1001922
MobilePhoneModel	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	81583	4089319	4089319	0.019950	1.000000	0.019950	81583
Params	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	0	4005962	4005962	0.000000	1.000000	0.000000	0
IPNetworkID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009725	4009725	0.997575	1.000000	0.997575	6865544
TraficSourceID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:157	1000000	4000000	4009723	4009723	0.997575	1.000000	0.997575	1728158
