column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:94	1000000	8000000	8007418	8007418	0.999074	1.000000	0.999074	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:94	1000000	4000000	4005913	4005913	0.998524	1.000000	0.998524	1000000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:94, DICTIONARY_PAGE/PLAIN:94	1000000	138409995	29442252	29442252	4.701067	1.000000	4.701067	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:94	1000000	4000000	4005911	4005911	0.998524	1.000000	0.998524	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:94, DICTIONARY_PAGE/PLAIN:94	1000000	8000000	7340237	7340237	1.089883	1.000000	1.089883	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:94	1000000	4000000	4005915	4005915	0.998523	1.000000	0.998523	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:94	1000000	4000000	4005914	4005914	0.998524	1.000000	0.998524	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:94	1000000	4000000	4005912	4005912	0.998524	1.000000	0.998524	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:94	1000000	4000000	4005910	4005910	0.998525	1.000000	0.998525	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:94	1000000	8000000	8007420	8007420	0.999073	1.000000	0.999073	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:94	1000000	4000000	4005916	4005916	0.998523	1.000000	0.998523	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:94	1000000	4000000	4005917	4005917	0.998523	1.000000	0.998523	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:94	1000000	4000000	4005910	4005910	0.998525	1.000000	0.998525	1088411
URL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:94, DICTIONARY_PAGE/PLAIN:94	1000000	88562192	44352678	44352678	1.996772	1.000000	1.996772	88563396
Referer	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:94, DICTIONARY_PAGE/PLAIN:94	1000000	79583339	34567699	34567699	2.302246	1.000000	2.302246	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:94	1000000	4000000	4005914	4005914	0.998524	1.000000	0.998524	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:94	1000000	4000000	4005917	4005917	0.998523	1.000000	0.998523	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:94	1000000	4000000	4005916	4005916	0.998523	1.000000	0.998523	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:94	1000000	4000000	4005916	4005916	0.998523	1.000000	0.998523	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:94	1000000	4000000	4005911	4005911	0.998524	1.000000	0.998524	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:94	1000000	4000000	4005916	4005916	0.998523	1.000000	0.998523	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:94	1000000	4000000	4005914	4005914	0.998524	1.000000	0.998524	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:94	1000000	4000000	4005911	4005911	0.998524	1.000000	0.998524	1994256
