column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	8000000	8007336	8007336	0.999084	1.000000	0.999084	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005857	4005857	0.998538	1.000000	0.998538	1000000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	138409995	29405339	29405339	4.706968	1.000000	4.706968	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005850	4005850	0.998540	1.000000	0.998540	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	8000000	8007341	8007341	0.999083	1.000000	0.999083	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	4000000	7947	7947	503.334592	1.000000	503.334592	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005851	4005851	0.998539	1.000000	0.998539	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	8000000	8007341	8007341	0.999083	1.000000	0.999083	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005851	4005851	0.998539	1.000000	0.998539	1088411
URL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	88562192	44345810	44345810	1.997081	1.000000	1.997081	88563396
Referer	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	79583339	34553829	34553829	2.303170	1.000000	2.303170	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005852	4005852	0.998539	1.000000	0.998539	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005857	4005857	0.998538	1.000000	0.998538	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005855	4005855	0.998538	1.000000	0.998538	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005857	4005857	0.998538	1.000000	0.998538	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005850	4005850	0.998540	1.000000	0.998540	1318244
FlashMinor2	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	3354477	270935	270935	12.381114	1.000000	12.381114	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005857	4005857	0.998538	1.000000	0.998538	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005850	4005850	0.998540	1.000000	0.998540	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	1885645
UserAgentMinor	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	3767530	153802	153802	24.495975	1.000000	24.495975	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005852	4005852	0.998539	1.000000	0.998539	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005857	4005857	0.998538	1.000000	0.998538	1001922
MobilePhoneModel	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	81583	27780	27780	2.936753	1.000000	2.936753	81583
Params	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	0	6459	6459	0.000000	1.000000	0.000000	0
IPNetworkID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	6865544
TraficSourceID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	1728158
SearchEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	1006573
SearchPhrase	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	3528017	1648718	1648718	2.139855	1.000000	2.139855	3528108
AdvEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	1004631
IsArtifical	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005852	4005852	0.998539	1.000000	0.998539	1000000
WindowClientWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005855	4005855	0.998538	1.000000	0.998538	3825106
WindowClientHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005852	4005852	0.998539	1.000000	0.998539	3055745
ClientTimeZone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	2989177
ClientEventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	8000000	8007344	8007344	0.999083	1.000000	0.999083	19000000
SilverlightVersion1	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	1000017
SilverlightVersion2	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	1000000
SilverlightVersion3	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	2728282
SilverlightVersion4	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005852	4005852	0.998539	1.000000	0.998539	1000000
PageCharset	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	13587860	13152	13152	1033.140207	1.000000	1033.140207	13587860
CodeVersion	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005855	4005855	0.998538	1.000000	0.998538	3997297
IsLink	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	1000000
IsDownload	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	1000000
IsNotBounce	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	1000000
FUniqID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	8000000	8007339	8007339	0.999083	1.000000	0.999083	18077896
OriginalURL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	27797671	21308797	21308797	1.304516	1.000000	1.304516	27797732
HID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	8956330
IsOldCounter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	1000000
IsEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	1000000
IsParameter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	1000000
DontCountHits	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	1000000
WithHash	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	1000000
HitColor	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	1000000	36230	36230	27.601435	1.000000	27.601435	1000000
LocalEventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	8000000	8007340	8007340	0.999083	1.000000	0.999083	19000000
Age	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005857	4005857	0.998538	1.000000	0.998538	1740725
Sex	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	1000000
Income	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005855	4005855	0.998538	1.000000	0.998538	1000000
Interests	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005849	4005849	0.998540	1.000000	0.998540	2180312
Robotness	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005857	4005857	0.998538	1.000000	0.998538	1423051
RemoteIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	10016734
WindowName	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	2197789
OpenerName	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005858	4005858	0.998538	1.000000	0.998538	2000000
HistoryLength	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005855	4005855	0.998538	1.000000	0.998538	1940175
BrowserLanguage	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	2001192	45113	45113	44.359542	1.000000	44.359542	2001192
BrowserCountry	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	3325142	138792	138792	23.957735	1.000000	23.957735	3987713
SocialNetwork	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	0	6459	6459	0.000000	1.000000	0.000000	0
SocialAction	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	0	6459	6459	0.000000	1.000000	0.000000	0
HTTPError	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	1000000
SendTiming	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005855	4005855	0.998538	1.000000	0.998538	1035866
DNSTiming	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005852	4005852	0.998539	1.000000	0.998539	1026953
ConnectTiming	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	1145637
ResponseStartTiming	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005851	4005851	0.998539	1.000000	0.998539	2288673
ResponseEndTiming	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005858	4005858	0.998538	1.000000	0.998538	1573269
FetchTiming	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005856	4005856	0.998538	1.000000	0.998538	1273464
SocialSourceNetworkID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005858	4005858	0.998538	1.000000	0.998538	1000056
SocialSourcePage	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	1024	8213	8213	0.124680	1.000000	0.124680	1024
ParamPrice	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	8000000	8007341	8007341	0.999083	1.000000	0.999083	1000000
ParamOrderID	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	0	6459	6459	0.000000	1.000000	0.000000	0
ParamCurrency	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	3000000	7761	7761	386.548125	1.000000	386.548125	3000000
ParamCurrencyID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005853	4005853	0.998539	1.000000	0.998539	1000000
OpenstatServiceName	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	58030	22687	22687	2.557853	1.000000	2.557853	58030
OpenstatCampaignID	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	22051	19492	19492	1.131285	1.000000	1.131285	22051
OpenstatAdID	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	25445	25201	25201	1.009682	1.000000	1.009682	25445
OpenstatSourceID	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	48191	17802	17802	2.707055	1.000000	2.707055	48191
UTMSource	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	49433	26324	26324	1.877868	1.000000	1.877868	49433
UTMMedium	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	16873	19386	19386	0.870370	1.000000	0.870370	16873
UTMCampaign	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	91870	42458	42458	2.163785	1.000000	2.163785	91871
UTMContent	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	13001	17620	17620	0.737855	1.000000	0.737855	13001
UTMTerm	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	28101	19725	19725	1.424639	1.000000	1.424639	28101
FromTag	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:93, DICTIONARY_PAGE/PLAIN:93	1000000	45607	43164	43164	1.056598	1.000000	1.056598	45607
HasGCLID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	1000000
RefererHash	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	8000000	8007342	8007342	0.999083	1.000000	0.999083	19349242
URLHash	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	8000000	8007339	8007339	0.999083	1.000000	0.999083	19343177
CLID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:93	1000000	4000000	4005854	4005854	0.998539	1.000000	0.998539	1000380
