column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:77, DICTIONARY_PAGE/PLAIN:77	1000000	8000000	9802042	9802042	0.816156	1.000000	0.816156	19000000
JavaEnable	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:77, DICTIONARY_PAGE/PLAIN:77	1000000	4000000	81617	81617	49.009398	1.000000	49.009398	1000000
Title	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:469	1000000	138409995	64483648	64483648	2.146436	1.000000	2.146436	138440901
GoodEvent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:77, DICTIONARY_PAGE/PLAIN:77	1000000	4000000	6694	6694	597.550045	1.000000	597.550045	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:77	1000000	8000000	8006153	8006153	0.999231	1.000000	0.999231	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:77	1000000	4000000	4004923	4004923	0.998771	1.000000	0.998771	10000000
CounterID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:77, DICTIONARY_PAGE/PLAIN:77	1000000	4000000	6741	6741	593.383771	1.000000	593.383771	2000000
ClientIP	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:77, DICTIONARY_PAGE/PLAIN:77	1000000	4000000	928436	928436	4.308321	1.000000	4.308321	10032124
RegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:77, DICTIONARY_PAGE/PLAIN:77	1000000	4000000	438691	438691	9.118035	1.000000	9.118035	2539898
UserID	int64	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:77, DICTIONARY_PAGE/PLAIN:77	1000000	8000000	1217194	1217194	6.572494	1.000000	6.572494	18637316
CounterClass	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:77, DICTIONARY_PAGE/PLAIN:77	1000000	4000000	6694	6694	597.550045	1.000000	597.550045	1000000
OS	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:77, DICTIONARY_PAGE/PLAIN:77	1000000	4000000	233008	233008	17.166793	1.000000	17.166793	1733675
UserAgent	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:77, DICTIONARY_PAGE/PLAIN:77	1000000	4000000	227155	227155	17.609122	1.000000	17.609122	1088411
URL	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:317	1000000	88562192	40468025	40468025	2.188449	1.000000	2.188449	88563396
Referer	string	delta-byte-array	DELTA_BYTE_ARRAY	DATA_PAGE_V2/DELTA_BYTE_ARRAY:292	1000000	79583339	38998189	38998189	2.040693	1.000000	2.040693	79585848
IsRefresh	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:77, DICTIONARY_PAGE/PLAIN:77	1000000	4000000	94476	94476	42.338795	1.000000	42.338795	1000000
RefererCategoryID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:77, DICTIONARY_PAGE/PLAIN:77	1000000	4000000	498970	498970	8.016514	1.000000	8.016514	4634835
RefererRegionID	int32	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:77, DICTIONARY_PAGE/PLAIN:77	1000000	4000000	374425	374425	10.683047	1.000000	10.683047	2814059
URLCategoryID	int16	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:77, DICTIONARY_PAGE/PLAIN:77	1000000	4000000	156845	156845	25.502885	1.000000	25.502885	4525496
