column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	8000000	8004956	8005389	0.999381	0.999946	0.999327	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	262195	0.999026	15.270695	15.255821	1000000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	138409995	28853429	10016710	4.797003	2.880530	13.817910	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	204459	0.999026	19.582904	19.563825	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	8000000	7344855	5516743	1.089198	1.331375	1.450131	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	204460	0.999025	19.582813	19.563729	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	204476	0.999026	19.581271	19.562198	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003961	719536	0.999011	5.564643	5.559138	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003904	396935	0.999025	10.087052	10.077217	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	8000000	8004950	1085032	0.999382	7.377617	7.373054	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	204276	0.999026	19.600443	19.581351	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003903	318195	0.999025	12.583174	12.570908	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	342430	0.999026	11.692612	11.681220	1088411
URL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	88562192	44097177	16099145	2.008342	2.739101	5.501049	88563396
Referer	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	79583339	34410100	14809433	2.312790	2.323526	5.373828	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003927	492045	0.999019	8.137319	8.129338	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003933	509115	0.999018	7.864496	7.856771	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003920	458270	0.999021	8.737033	8.728479	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003898	272053	0.999026	14.717346	14.703017	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003898	232330	0.999026	17.233668	17.216890	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003903	373613	0.999025	10.716712	10.706266	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	373411	0.999025	10.722507	10.712057	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	283101	0.999026	14.143009	14.129233	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	245379	0.999026	16.317211	16.301313	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	328589	0.999025	12.185137	12.173262	1318244
FlashMinor2	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	3354477	267617	183232	12.534619	1.460536	18.307266	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003902	219252	0.999025	18.261644	18.243847	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003903	217398	0.999025	18.417387	18.399433	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003901	365425	0.999026	10.956834	10.946159	1885645
UserAgentMinor	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:62, DICTIONARY_PAGE/PLAIN:62	1000000	3767530	151415	104702	24.882145	1.446152	35.983362	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:62	1000000	4000000	4003900	204943	0.999026	19.536652	19.517622	1000000
