column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	8000000	8004636	8005441	0.999421	0.999899	0.999320	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003648	64832	0.999089	61.754195	61.697927	1000000
Title	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:520	1000000	138409995	140027539	14467840	0.988448	9.678538	9.566735	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003589	4990	0.999104	802.322445	801.603206	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	8000000	7355779	4037844	1.087580	1.821710	1.981255	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:58, DICTIONARY_PAGE/PLAIN:58	1000000	4000000	5039	6083	793.808295	0.828374	657.570278	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003590	5008	0.999103	799.438898	798.722045	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003659	408423	0.999086	9.802727	9.793768	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003649	190999	0.999089	20.961623	20.942518	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	8000000	8004630	618192	0.999422	12.948453	12.940963	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003588	4294	0.999104	932.367955	931.532371	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003650	107017	0.999088	37.411346	37.377239	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003642	135386	0.999090	29.572053	29.545152	1088411
URL	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:346	1000000	88562192	89785373	16034342	0.986377	5.599567	5.523282	88563396
Referer	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:326	1000000	79583339	80834242	15009209	0.984525	5.385643	5.302301	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003649	178809	0.999089	22.390646	22.370239	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003650	275459	0.999088	14.534468	14.521217	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003648	231379	0.999089	17.303420	17.287654	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003649	87717	0.999089	45.642794	45.601195	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003648	48190	0.999089	83.080473	83.004773	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003647	187365	0.999089	21.368169	21.348704	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003650	186320	0.999088	21.488031	21.468441	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003645	82361	0.999090	48.610932	48.566676	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003646	53289	0.999089	75.130815	75.062396	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003650	129482	0.999088	30.920514	30.892325	1318244
FlashMinor2	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:58	1000000	3354477	3707337	267059	0.904821	13.882090	12.560809	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003647	26688	0.999089	150.016749	149.880096	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003648	25276	0.999089	158.397215	158.252888	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003645	155893	0.999090	25.682006	25.658625	1885645
UserAgentMinor	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:58	1000000	3767530	4017116	151166	0.937869	26.574203	24.923131	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003597	6167	0.999102	649.196854	648.613588	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003601	6650	0.999101	602.045263	601.503759	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003644	29115	0.999090	137.511386	137.386227	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003647	22808	0.999089	175.536961	175.377061	1001922
MobilePhoneModel	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:58	1000000	81583	231047	30833	0.353101	7.493497	2.645964	81583
Params	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:58	1000000	0	41739	3623	0.000000	11.520563	0.000000	0
IPNetworkID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003649	323808	0.999089	12.364268	12.352999	6865544
TraficSourceID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003651	288480	0.999088	13.878435	13.865779	1728158
SearchEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003645	101857	0.999090	39.306528	39.270742	1006573
SearchPhrase	string	delta-length-byte-array	DELTA_LENGTH_BYTE_ARRAY	DATA_PAGE_V2/DELTA_LENGTH_BYTE_ARRAY:58	1000000	3528017	4222019	812367	0.835623	5.197182	4.342886	3528108
AdvEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003643	30881	0.999090	129.647453	129.529484	1004631
IsArtifical	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:58	1000000	4000000	4003648	165163	0.999089	24.240587	24.218499	1000000
