column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004557	8005361	0.999431	0.999900	0.999330	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003590	64020	0.999103	62.536551	62.480475	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:528	1000000	138409995	142867610	13953285	0.968799	10.238995	9.919528	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003529	4920	0.999119	813.725407	813.008130	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:57, DICTIONARY_PAGE/PLAIN:57	1000000	8000000	7357539	4039124	1.087320	1.821568	1.980627	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003529	4920	0.999119	813.725407	813.008130	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003533	4942	0.999118	810.103804	809.388911	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003601	408178	0.999101	9.808468	9.799646	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003585	190813	0.999105	20.981720	20.962932	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004551	617972	0.999431	12.952935	12.945570	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003529	4236	0.999119	945.120161	944.287063	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003588	106753	0.999104	37.503283	37.469673	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	133847	0.999104	29.911668	29.884869	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:356	1000000	88562192	92651103	15307125	0.955868	6.052809	5.785684	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:328	1000000	79583339	83645458	14221544	0.951436	5.881602	5.595970	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	178877	0.999104	22.381787	22.361735	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003588	275126	0.999104	14.551834	14.538793	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003588	231319	0.999104	17.307649	17.292138	2814059
URLCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003590	87533	0.999103	45.738065	45.697051	4525496
URLRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003590	48077	0.999103	83.274539	83.199867	2981244
ResolutionWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	187250	0.999104	21.380972	21.361816	3967065
ResolutionHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003590	186190	0.999103	21.502712	21.483431	3407277
ResolutionDepth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	82256	0.999104	48.672279	48.628671	1994256
FlashMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003591	53287	0.999103	75.132603	75.065213	1923540
FlashMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	128915	0.999104	31.056021	31.028197	1318244
FlashMinor2	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	3354477	7357830	246331	0.455906	29.869688	13.617762	3354477
NetMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	26694	0.999104	149.980782	149.846407	1000000
NetMinor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	25191	0.999104	158.929260	158.786868	1000000
UserAgentMajor	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003589	155224	0.999104	25.792332	25.769211	1885645
UserAgentMinor	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	3767530	7770889	136972	0.484826	56.733413	27.505841	3777059
CookieEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003539	6053	0.999116	661.414010	660.829341	1000000
JavascriptEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003544	6561	0.999115	610.203323	609.663161	1000000
IsMobile	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003585	28902	0.999105	138.522767	138.398727	1000000
MobilePhone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	22977	0.999104	174.243243	174.087131	1001922
MobilePhoneModel	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	81583	4084892	22657	0.019972	180.292713	3.600786	81583
Params	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	0	4002161	2868	0.000000	1395.453626	0.000000	0
IPNetworkID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003592	323741	0.999103	12.366651	12.355556	6865544
TraficSourceID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003588	288165	0.999104	13.893387	13.880936	1728158
SearchEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003588	101739	0.999104	39.351556	39.316290	1006573
SearchPhrase	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	3528017	7534999	721542	0.468217	10.442911	4.889552	3528108
AdvEngineID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003583	30732	0.999105	130.274079	130.157491	1004631
IsArtifical	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003584	164931	0.999105	24.274297	24.252566	1000000
WindowClientWidth	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003590	305881	0.999103	13.088718	13.076981	3825106
WindowClientHeight	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003585	320010	0.999105	12.510812	12.499609	3055745
ClientTimeZone	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003590	99843	0.999103	40.098855	40.062899	2989177
ClientEventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:57, DICTIONARY_PAGE/PLAIN:57	1000000	8000000	7208507	3976226	1.109800	1.812902	2.011958	19000000
SilverlightVersion1	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003585	90970	0.999105	44.009948	43.970540	1000017
SilverlightVersion2	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	74605	0.999104	53.663789	53.615709	1000000
SilverlightVersion3	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003588	123955	0.999104	32.298721	32.269775	2728282
SilverlightVersion4	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003527	4360	0.999119	918.240138	917.431193	1000000
PageCharset	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:85	1000000	13587860	17594877	14749	0.772262	1192.953895	921.273307	13587860
CodeVersion	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003553	7128	0.999113	561.665685	561.167228	3997297
IsLink	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003557	56734	0.999112	70.567155	70.504459	1000000
IsDownload	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003554	8069	0.999112	496.164828	495.724377	1000000
IsNotBounce	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003539	25202	0.999116	158.857987	158.717562	1000000
FUniqID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004558	693965	0.999431	11.534527	11.527959	18077896
OriginalURL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:137	1000000	27797671	31856668	5316593	0.872586	5.991933	5.228475	27797732
HID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003644	3853120	0.999090	1.039065	1.038120	8956330
IsOldCounter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003529	4236	0.999119	945.120161	944.287063	1000000
IsEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003529	4236	0.999119	945.120161	944.287063	1000000
IsParameter	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003529	4236	0.999119	945.120161	944.287063	1000000
DontCountHits	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003589	82547	0.999104	48.500721	48.457243	1000000
WithHash	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003529	4236	0.999119	945.120161	944.287063	1000000
HitColor	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	1000000	5002904	29467	0.199884	169.779889	33.936268	1000000
LocalEventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:57, DICTIONARY_PAGE/PLAIN:57	1000000	8000000	7354048	4039947	1.087836	1.820333	1.980224	19000000
Age	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	142628	0.999104	28.070126	28.044984	1740725
Sex	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	107835	0.999104	37.126972	37.093708	1000000
Income	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003584	122853	0.999105	32.588411	32.559237	1000000
Interests	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003590	193449	0.999103	20.695842	20.677284	2180312
Robotness	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	173958	0.999104	23.014670	22.994056	1423051
RemoteIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003601	426500	0.999101	9.387107	9.378664	10016734
WindowName	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003582	70816	0.999105	56.534992	56.484410	2197789
OpenerName	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003529	4236	0.999119	945.120161	944.287063	2000000
HistoryLength	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003574	55294	0.999107	72.405216	72.340579	1940175
BrowserLanguage	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	2001192	6004437	32234	0.333286	186.276509	62.083266	2001192
BrowserCountry	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	3325142	7328504	122185	0.453727	59.978754	27.213995	3987713
SocialNetwork	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	0	4002161	2868	0.000000	1395.453626	0.000000	0
SocialAction	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	0	4002161	2868	0.000000	1395.453626	0.000000	0
HTTPError	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003529	4236	0.999119	945.120161	944.287063	1000000
