column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004557	8005365	0.999431	0.999899	0.999330	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003583	63619	0.999105	62.930618	62.874299	1000000
Title	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:528	1000000	138409995	142869580	13939156	0.968786	10.249514	9.929582	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003530	4924	0.999118	813.064582	812.347685	1000000
EventTime	timestamp_millis	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004555	2517870	0.999431	3.179098	3.177289	19000000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:57, DICTIONARY_PAGE/PLAIN:57	1000000	4000000	4954	5980	807.428341	0.828428	668.896321	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003528	4939	0.999119	810.594857	809.880543	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003599	408068	0.999101	9.811107	9.802288	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003584	191175	0.999105	20.941985	20.923238	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	8000000	8004551	618297	0.999431	12.946126	12.938766	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003529	4240	0.999119	944.228538	943.396226	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003587	105900	0.999104	37.805354	37.771483	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	135159	0.999104	29.621305	29.594774	1088411
URL	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:356	1000000	88562192	92652667	15307029	0.955852	6.052949	5.785721	88563396
Referer	string	plain	PLAIN	DATA_PAGE_V2/PLAIN:326	1000000	79583339	83647730	14217928	0.951411	5.883257	5.597394	79585848
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	178937	0.999104	22.374277	22.354236	1000000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003584	275151	0.999105	14.550498	14.537472	4634835
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:57	1000000	4000000	4003586	231384	0.999104	17.302778	17.287280	2814059
