column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	8000000	8004792	8005639	0.999401	0.999894	0.999296	19000000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003776	64680	0.999057	61.901299	61.842919	1000000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	138409995	28831150	7976017	4.800710	3.614730	17.353272	138440901
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003712	5178	0.999073	773.215913	772.499034	1000000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:60, DICTIONARY_PAGE/PLAIN:60	1000000	8000000	7359529	4021744	1.087026	1.829935	1.989187	19000000
EventDate	date	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003716	5182	0.999072	772.619838	771.902740	10000000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003713	5197	0.999073	770.389263	769.674812	2000000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003780	408551	0.999056	9.799952	9.790699	10032124
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003772	190959	0.999058	20.966658	20.946905	2539898
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	8000000	8004790	618431	0.999402	12.943708	12.935962	18637316
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003713	4459	0.999073	897.894819	897.062122	1000000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003774	107764	0.999057	37.153168	37.118147	1733675
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:60	1000000	4000000	4003778	134905	0.999056	29.678500	29.650495	1088411
