column	type	config_encoding	metadata_encodings	page_encodings	values	physical_bytes	encoded_bytes	compressed_bytes	physical_encoded_ratio	encoded_compressed_ratio	physical_compressed_ratio	source_field_bytes
WatchID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:1	10000	80000	80080	80092	0.999001	0.999850	0.998851	190000
JavaEnable	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:1	10000	40000	40063	705	0.998427	56.826950	56.737589	10000
Title	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:1, DICTIONARY_PAGE/PLAIN:1	10000	2200605	545453	148809	4.034454	3.665457	14.788118	2200673
GoodEvent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:1	10000	40000	40062	85	0.998452	471.317647	470.588235	10000
EventTime	timestamp_millis	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:1, DICTIONARY_PAGE/PLAIN:1	10000	80000	58661	33469	1.363768	1.752697	2.390272	190000
EventDate	date	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:1, DICTIONARY_PAGE/PLAIN:1	10000	40000	87	105	459.770115	0.828571	380.952381	100000
CounterID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:1	10000	40000	40062	89	0.998452	450.134831	449.438202	20000
ClientIP	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:1	10000	40000	40063	3641	0.998427	11.003296	10.985993	100283
RegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:1	10000	40000	40063	1647	0.998427	24.324833	24.286582	24459
UserID	int64	plain	PLAIN	DATA_PAGE_V2/PLAIN:1	10000	80000	80079	5858	0.999013	13.670024	13.656538	199987
CounterClass	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:1	10000	40000	40061	72	0.998477	556.402778	555.555556	10000
OS	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:1	10000	40000	40063	955	0.998427	41.950785	41.884817	16130
UserAgent	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:1	10000	40000	40063	1421	0.998427	28.193526	28.149191	11313
URL	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:1, DICTIONARY_PAGE/PLAIN:1	10000	760012	247077	73426	3.076013	3.364980	10.350720	760022
Referer	string	rle-dict	PLAIN, RLE_DICTIONARY	DATA_PAGE_V2/RLE_DICTIONARY:1, DICTIONARY_PAGE/PLAIN:1	10000	797798	233930	82816	3.410413	2.824696	9.633380	797822
IsRefresh	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:1	10000	40000	40063	3154	0.998427	12.702283	12.682308	10000
RefererCategoryID	int16	plain	PLAIN	DATA_PAGE_V2/PLAIN:1	10000	40000	40062	2611	0.998452	15.343547	15.319801	47318
RefererRegionID	int32	plain	PLAIN	DATA_PAGE_V2/PLAIN:1	10000	40000	40063	2656	0.998427	15.083961	15.060241	28586
